unit_id,line_id,furnace_temp_c,roller_pressure_bar,line_speed_mpm,lubricant_flow_lph,vibration_rms_mms,ambient_humidity_pct,cooling_rate_cps,tension_variation_kn,defect_class
UNIT-11905,LINE-B,835.43,138.07,45.89,30.82,1.51,46.88,14.76,0.57,normal
UNIT-10461,LINE-C,889.68,178.56,53.52,29.58,1.18,43.45,29.53,2.02,crack
UNIT-10044,LINE-C,888.93,179.43,50.68,31.9,1.53,40.37,30.82,1.88,crack
UNIT-10088,LINE-A,906.22,173.49,48.62,30.66,1.59,48.69,30.96,1.76,crack
UNIT-11703,LINE-A,817.36,152.83,48.15,31.0,1.63,36.12,17.09,0.6,normal
UNIT-11399,LINE-B,868.68,197.64,52.45,31.32,2.48,49.09,16.96,1.98,hole
UNIT-13426,LINE-B,844.69,148.56,70.25,18.93,6.12,40.45,19.57,0.49,scratch
UNIT-10562,LINE-B,925.89,176.48,51.3,29.84,1.9,48.51,32.54,1.99,crack
UNIT-10283,LINE-A,926.02,179.35,53.96,29.76,2.2,40.88,26.77,1.9,crack
UNIT-13421,LINE-A,837.24,151.13,53.24,16.55,6.57,44.79,16.82,0.51,scratch
UNIT-13189,LINE-A,850.64,153.69,72.27,18.54,4.64,40.48,15.67,0.71,scratch
UNIT-11767,LINE-C,829.64,154.73,48.71,31.28,1.84,48.29,16.3,0.52,normal
UNIT-13322,LINE-A,844.16,149.57,74.78,16.61,4.07,49.74,14.82,0.58,scratch
UNIT-11443,LINE-A,843.09,145.69,46.89,32.16,1.86,44.3,16.63,0.33,normal
UNIT-10466,LINE-A,932.76,171.45,48.77,34.66,1.31,45.63,24.94,1.78,crack
UNIT-11197,LINE-B,872.33,200.93,46.97,32.75,2.24,42.91,19.75,2.03,hole
UNIT-11583,LINE-B,850.13,145.05,48.78,34.07,1.53,41.98,16.85,0.33,normal
UNIT-10860,LINE-A,897.52,181.63,51.61,34.28,1.22,44.27,16.92,2.37,hole
UNIT-10534,LINE-A,905.05,176.01,55.36,28.91,1.01,38.0,28.85,1.97,crack
UNIT-12851,LINE-B,846.94,153.49,62.4,17.21,3.96,42.65,17.92,0.4,scratch
UNIT-12857,LINE-A,836.58,146.31,67.93,22.54,4.72,36.56,16.26,0.48,scratch
UNIT-12158,LINE-A,832.52,153.62,37.54,15.85,1.53,82.67,16.9,0.21,rust
UNIT-11850,LINE-C,826.85,148.18,48.78,30.43,1.36,36.77,15.09,0.63,normal
UNIT-13462,LINE-A,849.27,149.36,65.86,21.1,6.03,41.48,15.71,0.49,scratch
UNIT-12906,LINE-A,836.91,147.3,61.9,19.67,4.58,45.29,18.96,0.38,scratch
UNIT-11668,LINE-C,827.42,150.49,53.78,31.93,0.78,45.55,16.7,0.23,normal
UNIT-12476,LINE-B,854.42,146.01,37.69,15.8,1.69,85.9,15.86,0.51,rust
UNIT-11136,LINE-B,902.14,202.13,51.04,31.87,1.12,45.57,17.84,1.51,hole
UNIT-13449,LINE-C,849.04,152.52,62.64,15.13,5.61,45.59,15.01,0.35,scratch
UNIT-12471,LINE-B,841.05,154.68,33.85,19.17,1.71,74.63,19.02,0.38,rust
UNIT-13025,LINE-A,826.95,145.27,62.76,16.9,5.34,48.83,17.64,0.33,scratch
UNIT-11352,LINE-C,878.69,187.28,52.04,33.3,1.85,40.11,16.24,1.99,hole
UNIT-10904,LINE-B,870.68,192.41,52.03,35.51,1.94,44.66,16.57,2.64,hole
UNIT-10638,LINE-C,925.79,171.21,51.21,30.3,1.69,41.07,23.84,1.03,crack
UNIT-11457,LINE-C,838.96,166.08,51.22,29.72,2.13,48.17,17.07,0.43,normal
UNIT-11986,LINE-A,854.27,147.19,48.43,31.74,1.61,51.55,19.35,0.59,normal
UNIT-13461,LINE-A,847.45,151.15,65.92,14.85,6.33,45.26,17.53,0.56,scratch
UNIT-13388,LINE-C,836.19,150.77,67.94,18.45,5.48,46.88,17.79,0.55,scratch
UNIT-12567,LINE-A,845.54,153.5,32.95,13.61,1.67,77.69,17.93,0.29,rust
UNIT-13365,LINE-A,830.78,150.08,67.81,18.7,5.39,48.2,18.01,0.71,scratch
UNIT-11079,LINE-A,898.21,200.19,48.61,30.47,1.63,41.01,15.77,2.56,hole
UNIT-12489,LINE-A,835.21,155.4,35.83,10.71,1.65,74.8,18.09,0.62,rust
UNIT-11821,LINE-B,824.6,153.04,49.55,28.99,1.28,50.26,17.95,0.62,normal
UNIT-10222,LINE-A,900.31,173.97,48.36,33.71,1.27,47.56,27.95,2.02,crack
UNIT-10544,LINE-B,888.2,182.41,51.73,27.94,1.33,42.67,30.57,2.18,crack
UNIT-12182,LINE-A,835.46,144.19,32.33,15.82,2.07,82.74,17.21,0.75,rust
UNIT-13471,LINE-A,838.86,146.06,62.72,19.19,4.48,45.28,15.78,0.41,scratch
UNIT-10888,LINE-B,882.52,189.88,54.96,30.69,1.6,41.39,15.46,1.76,hole
UNIT-12510,LINE-A,849.17,151.43,35.24,9.48,1.49,70.75,18.54,0.57,rust
UNIT-10686,LINE-A,907.26,181.03,48.82,34.24,2.08,50.11,30.78,1.65,crack
UNIT-12680,LINE-B,832.41,154.95,29.67,20.74,1.97,65.59,15.13,0.63,rust
UNIT-10991,LINE-B,893.26,175.35,45.33,28.02,0.98,45.12,15.9,2.13,hole
UNIT-12171,LINE-C,839.67,148.66,32.41,14.5,1.86,81.74,15.27,0.55,rust
UNIT-11428,LINE-A,849.48,159.09,53.49,33.72,1.3,42.36,17.31,0.41,normal
UNIT-12501,LINE-C,841.95,155.01,33.22,19.09,1.41,73.5,19.63,0.49,rust
UNIT-10790,LINE-A,864.79,195.08,49.06,31.64,1.69,46.58,19.53,2.61,hole
UNIT-13088,LINE-B,848.59,149.63,62.08,21.91,4.46,41.86,16.02,0.31,scratch
UNIT-11109,LINE-A,907.18,182.21,47.06,30.77,2.21,40.1,18.63,2.32,hole
UNIT-12300,LINE-C,833.7,153.72,35.03,16.36,1.36,73.65,16.62,0.67,rust
UNIT-12139,LINE-A,838.11,146.92,32.1,7.53,1.57,74.57,15.2,0.71,rust
UNIT-12779,LINE-A,836.33,153.83,33.65,21.77,1.63,71.91,16.7,0.42,rust
UNIT-13295,LINE-A,834.96,155.27,65.82,14.37,4.7,42.08,16.69,0.33,scratch
UNIT-11074,LINE-B,882.87,192.2,50.09,30.56,1.46,43.5,15.41,1.73,hole
UNIT-12574,LINE-C,845.11,152.17,43.75,20.12,1.48,89.24,20.13,0.35,rust
UNIT-11730,LINE-B,834.62,154.61,49.17,35.0,1.45,51.91,18.18,0.77,normal
UNIT-10273,LINE-B,930.04,177.33,47.33,31.44,1.3,48.15,35.77,1.95,crack
UNIT-13377,LINE-A,821.31,158.6,59.79,17.23,5.55,41.73,17.04,0.53,scratch
UNIT-10522,LINE-B,927.95,175.44,48.81,29.39,1.33,37.43,29.43,1.94,crack
UNIT-10523,LINE-B,891.01,172.92,50.48,33.93,1.38,40.5,33.12,1.94,crack
UNIT-12064,LINE-B,845.53,147.56,50.0,33.25,1.65,50.41,16.69,0.42,normal
UNIT-11489,LINE-A,828.58,152.64,46.2,31.97,1.47,44.89,18.75,0.7,normal
UNIT-13324,LINE-A,827.93,148.58,63.26,16.14,6.56,49.99,18.73,0.81,scratch
UNIT-12487,LINE-A,830.05,149.31,34.7,9.0,1.42,78.21,18.73,0.43,rust
UNIT-11229,LINE-B,903.82,188.85,51.7,34.11,1.7,43.84,14.95,2.65,hole
UNIT-10351,LINE-B,899.0,177.7,49.76,29.78,1.21,51.74,29.53,2.31,crack
UNIT-11256,LINE-B,896.53,197.7,50.05,34.37,0.92,43.36,19.55,2.84,hole
UNIT-11511,LINE-C,854.64,147.46,46.7,34.24,1.38,39.15,17.58,0.7,normal
UNIT-11567,LINE-A,845.11,150.63,53.81,35.04,1.34,48.83,17.76,0.54,normal
UNIT-12737,LINE-C,840.15,151.51,35.55,13.81,0.83,82.47,19.35,0.67,rust
UNIT-11478,LINE-A,835.81,153.66,50.87,33.39,1.25,49.73,16.36,0.33,normal
UNIT-12703,LINE-A,839.27,149.36,38.44,9.14,1.86,78.03,17.46,0.84,rust
UNIT-11174,LINE-A,858.31,191.67,47.49,31.1,1.62,47.31,18.19,2.55,hole
UNIT-10652,LINE-C,920.08,179.04,52.04,33.2,1.91,39.92,28.33,1.56,crack
UNIT-12910,LINE-C,848.67,149.5,60.14,20.85,5.64,42.41,20.05,0.59,scratch
UNIT-12664,LINE-A,848.11,154.35,35.43,18.76,1.67,81.28,13.06,0.26,rust
UNIT-13286,LINE-B,842.05,151.65,61.24,15.86,3.71,53.89,16.78,0.5,scratch
UNIT-13022,LINE-A,844.89,153.19,61.01,14.12,5.65,48.15,15.03,0.31,scratch
UNIT-13245,LINE-C,839.77,146.86,66.02,11.84,6.45,41.13,14.85,0.35,scratch
UNIT-12423,LINE-A,847.68,155.57,40.3,11.23,1.32,70.99,15.2,0.26,rust
UNIT-12250,LINE-A,835.13,154.67,40.73,12.58,1.62,80.77,18.27,0.62,rust
UNIT-12074,LINE-A,847.0,149.04,48.97,29.36,1.76,49.28,20.85,0.56,normal
UNIT-11863,LINE-B,828.05,151.11,47.95,34.11,1.53,36.91,17.76,0.53,normal
UNIT-10169,LINE-A,912.11,173.32,50.2,32.05,1.1,48.81,28.75,1.85,crack
UNIT-12917,LINE-A,848.57,152.26,64.59,14.77,4.11,41.33,19.18,0.53,scratch
UNIT-11749,LINE-C,860.48,146.99,49.05,33.49,1.83,45.69,16.16,0.33,normal
UNIT-13249,LINE-B,841.85,154.41,69.97,16.21,3.87,47.98,14.34,0.57,scratch
UNIT-11129,LINE-A,860.41,198.53,39.84,29.77,1.07,48.59,18.4,2.5,hole
UNIT-10804,LINE-A,874.49,188.8,47.48,35.45,1.41,47.86,17.68,2.35,hole
UNIT-12863,LINE-A,853.59,148.97,70.2,12.2,4.59,46.19,17.21,0.42,scratch
UNIT-10963,LINE-C,912.35,183.99,49.4,30.38,1.83,47.94,17.08,2.91,hole
UNIT-10946,LINE-B,885.52,198.92,50.67,30.97,1.6,40.9,14.09,1.88,hole
UNIT-10463,LINE-A,876.65,169.72,51.1,31.16,1.39,48.9,28.33,1.06,crack
UNIT-11826,LINE-C,854.99,145.53,49.79,31.1,1.47,48.74,15.03,0.57,normal
UNIT-12217,LINE-B,830.97,154.45,40.91,19.28,1.67,71.99,15.06,0.66,rust
UNIT-11980,LINE-B,835.85,153.66,52.69,34.43,0.92,41.6,15.47,0.52,normal
UNIT-12380,LINE-B,841.86,151.41,39.6,18.11,1.87,64.33,19.63,0.69,rust
UNIT-11106,LINE-B,880.74,179.76,48.2,29.6,1.09,46.14,18.75,1.74,hole
UNIT-13454,LINE-C,832.89,151.13,66.9,23.15,5.91,41.61,16.17,0.65,scratch
UNIT-11778,LINE-A,858.23,148.93,50.12,30.08,2.07,46.0,15.84,0.35,normal
UNIT-12611,LINE-B,836.01,139.3,40.2,14.47,1.33,71.38,19.82,0.34,rust
UNIT-10220,LINE-B,920.91,175.25,50.74,32.93,1.66,45.25,33.34,1.45,crack
UNIT-10368,LINE-C,916.41,168.24,48.48,31.19,1.39,38.27,32.32,2.07,crack
UNIT-13240,LINE-B,838.2,150.82,59.81,10.54,5.29,49.45,15.89,0.93,scratch
UNIT-13464,LINE-A,836.96,145.81,56.77,13.49,6.27,45.13,18.22,0.66,scratch
UNIT-10550,LINE-A,926.18,179.81,51.71,34.8,1.51,49.38,29.57,2.26,crack
UNIT-13038,LINE-A,833.63,140.54,58.95,13.92,5.87,36.02,13.65,0.67,scratch
UNIT-12504,LINE-C,845.97,148.97,32.48,8.87,1.33,70.81,16.89,0.46,rust
UNIT-11802,LINE-C,846.11,150.34,47.63,33.81,1.66,46.15,19.59,0.38,normal
UNIT-10352,LINE-C,909.03,158.27,42.48,33.14,1.67,39.64,33.51,1.65,crack
UNIT-11353,LINE-C,884.19,205.4,45.57,32.59,1.58,38.99,19.42,2.08,hole
UNIT-10773,LINE-A,880.17,186.93,49.14,36.66,1.65,43.86,16.61,2.24,hole
UNIT-13337,LINE-B,841.54,160.35,61.34,25.26,5.86,46.31,16.29,0.54,scratch
UNIT-12237,LINE-C,848.35,148.87,32.37,23.03,1.33,71.71,16.49,0.71,rust
UNIT-10491,LINE-A,888.36,181.45,47.73,35.14,1.33,34.15,30.45,1.4,crack
UNIT-13137,LINE-B,829.31,150.03,71.47,16.94,4.29,47.64,16.55,0.34,scratch
UNIT-12762,LINE-B,839.69,150.06,34.69,17.23,1.56,67.46,17.91,0.46,rust
UNIT-10499,LINE-C,937.23,169.32,47.25,28.57,1.23,42.29,26.87,1.94,crack
UNIT-12286,LINE-B,846.83,149.8,29.4,17.59,1.21,76.47,15.62,0.2,rust
UNIT-10211,LINE-C,925.94,166.51,46.5,32.03,1.73,47.39,29.65,1.32,crack
UNIT-11176,LINE-C,880.13,179.26,44.95,32.28,1.69,43.81,17.22,1.93,hole
UNIT-10436,LINE-A,891.86,188.64,48.41,31.92,1.77,41.63,30.77,1.36,crack
UNIT-10651,LINE-A,917.23,171.22,52.01,34.27,1.59,38.31,32.53,1.81,crack
UNIT-10228,LINE-B,932.09,179.43,48.52,32.25,2.19,41.98,25.09,2.15,crack
UNIT-10366,LINE-B,911.17,181.18,50.77,30.35,1.68,48.78,24.45,1.51,crack
UNIT-13307,LINE-A,841.56,146.1,63.45,18.82,3.97,40.03,16.62,0.33,scratch
UNIT-10277,LINE-A,904.31,178.1,48.6,34.03,1.35,37.47,28.14,1.43,crack
UNIT-12331,LINE-A,838.54,154.9,38.76,13.67,1.01,87.87,15.63,0.49,rust
UNIT-11316,LINE-A,892.59,189.97,52.63,32.22,1.59,39.71,16.66,2.18,hole
UNIT-10408,LINE-B,899.7,177.89,50.33,31.72,1.46,40.7,28.86,2.08,crack
UNIT-11139,LINE-A,881.6,184.7,51.27,34.47,1.33,42.02,14.59,2.79,hole
UNIT-11378,LINE-B,888.02,183.89,51.21,30.4,1.95,44.51,18.46,2.3,hole
UNIT-10845,LINE-B,891.14,193.86,51.48,33.67,1.28,45.39,16.95,2.51,hole
UNIT-11738,LINE-C,832.93,153.47,47.57,36.27,1.63,39.11,16.23,0.46,normal
UNIT-12119,LINE-B,842.96,146.6,28.14,15.33,1.56,79.87,19.73,0.48,rust
UNIT-11671,LINE-C,842.9,149.07,49.27,29.08,1.6,44.9,19.77,0.57,normal
UNIT-11908,LINE-A,826.49,153.92,52.27,32.91,1.55,38.93,15.26,0.35,normal
UNIT-11593,LINE-A,844.47,144.73,50.81,33.89,1.8,42.16,16.45,0.31,normal
UNIT-12556,LINE-B,846.63,147.47,33.62,23.52,2.19,85.65,16.49,0.37,rust
UNIT-11135,LINE-A,903.27,191.11,50.17,34.35,1.37,44.91,14.79,2.3,hole
UNIT-13329,LINE-B,826.56,149.09,62.61,13.86,4.92,52.46,16.44,0.45,scratch
UNIT-11259,LINE-B,874.87,202.53,48.97,31.25,1.4,38.83,18.0,1.9,hole
UNIT-11868,LINE-B,851.94,153.6,48.66,32.4,2.2,41.91,15.44,0.33,normal
UNIT-10945,LINE-B,880.06,181.97,53.54,34.41,1.38,42.27,17.62,2.08,hole
UNIT-10200,LINE-A,909.18,168.67,50.86,31.9,1.61,40.97,31.7,1.38,crack
UNIT-12671,LINE-A,831.21,149.18,28.76,21.58,1.48,74.69,15.62,0.51,rust
UNIT-11254,LINE-B,875.83,185.58,49.52,32.57,1.63,38.47,16.55,2.31,hole
UNIT-10802,LINE-B,878.02,193.94,49.74,33.01,1.54,44.99,16.37,2.46,hole
UNIT-12113,LINE-C,844.11,143.2,26.34,11.49,1.75,70.55,18.69,0.44,rust
UNIT-11375,LINE-C,904.45,188.07,48.28,28.16,1.4,44.71,17.15,2.88,hole
UNIT-12766,LINE-B,837.39,156.14,31.36,14.25,1.51,65.55,16.5,0.39,rust
UNIT-10232,LINE-B,935.93,178.89,50.63,33.64,1.59,45.82,32.4,2.2,crack
UNIT-11107,LINE-A,853.41,189.68,45.06,29.71,1.69,44.36,17.49,1.74,hole
UNIT-11792,LINE-B,846.94,152.48,50.27,32.94,1.49,44.08,16.8,0.41,normal
UNIT-11873,LINE-A,851.98,153.54,45.9,31.77,1.82,52.91,16.49,0.32,normal
UNIT-11910,LINE-A,850.77,150.44,48.92,33.14,1.92,45.19,18.03,0.48,normal
UNIT-12727,LINE-B,848.91,145.57,35.23,23.51,1.34,71.05,18.03,0.39,rust
UNIT-11264,LINE-A,889.41,205.51,51.71,33.32,1.92,45.56,17.82,2.16,hole
UNIT-13341,LINE-A,843.18,143.39,66.22,23.51,6.18,37.61,14.98,0.57,scratch
UNIT-11930,LINE-A,831.51,157.37,50.99,33.25,1.5,38.77,18.4,0.55,normal
UNIT-11897,LINE-C,834.46,152.29,50.86,34.05,1.82,44.75,15.77,0.38,normal
UNIT-10105,LINE-C,886.71,194.74,47.07,29.53,1.81,51.79,30.23,1.57,crack
UNIT-12607,LINE-B,832.85,145.69,36.25,14.08,2.17,80.08,17.99,0.67,rust
UNIT-11437,LINE-B,845.12,146.4,52.0,30.0,1.67,44.16,16.1,0.71,normal
UNIT-12933,LINE-A,853.62,142.05,64.31,13.42,6.65,42.64,20.63,0.64,scratch
UNIT-12896,LINE-C,844.61,157.3,60.84,18.69,6.38,47.57,16.87,0.42,scratch
UNIT-11508,LINE-C,831.79,150.12,46.66,31.75,2.09,47.29,15.62,0.49,normal
UNIT-11269,LINE-C,873.68,196.86,53.02,32.02,1.7,47.99,17.0,2.41,hole
UNIT-11182,LINE-B,907.83,200.55,48.23,27.29,1.69,35.05,17.49,2.51,hole
UNIT-12684,LINE-A,838.22,154.23,39.26,16.8,1.4,86.34,17.48,0.65,rust
UNIT-12115,LINE-C,834.71,153.37,30.15,16.06,1.87,74.24,17.03,0.72,rust
UNIT-11098,LINE-A,878.82,190.41,45.49,34.0,1.48,48.06,17.97,1.66,hole
UNIT-11404,LINE-A,843.58,147.97,49.59,31.28,2.06,49.05,15.14,0.42,normal
UNIT-12596,LINE-C,832.99,145.51,38.44,20.03,1.79,79.8,15.75,0.64,rust
UNIT-11492,LINE-C,839.46,145.84,52.2,33.13,1.45,39.83,15.02,0.65,normal
UNIT-13417,LINE-A,848.33,151.87,63.98,20.34,5.58,45.72,16.23,0.53,scratch
UNIT-11768,LINE-B,842.66,150.51,45.8,33.5,1.26,42.33,18.44,0.65,normal
UNIT-11279,LINE-A,878.78,189.62,54.38,29.53,1.89,42.1,15.63,3.12,hole
UNIT-12948,LINE-A,832.45,162.81,68.34,16.88,5.03,41.6,17.95,0.49,scratch
UNIT-10995,LINE-B,887.07,193.43,47.51,31.55,1.21,42.63,14.29,2.51,hole
UNIT-10465,LINE-B,904.72,181.68,49.93,32.24,1.73,40.32,30.43,1.17,crack
UNIT-13254,LINE-B,840.81,153.17,68.83,16.11,5.66,46.72,15.64,0.41,scratch
UNIT-13104,LINE-A,838.63,157.92,63.79,22.78,4.3,48.48,19.22,0.68,scratch
UNIT-12819,LINE-B,846.34,155.24,66.97,15.4,5.91,47.85,16.9,0.58,scratch
UNIT-11761,LINE-B,848.48,153.62,47.93,34.49,1.36,41.51,16.27,0.22,normal
UNIT-12120,LINE-B,835.14,144.13,33.54,11.34,1.47,79.53,14.0,0.64,rust
UNIT-13294,LINE-B,837.99,149.78,64.72,16.38,5.96,40.67,17.55,0.33,scratch
UNIT-10213,LINE-A,885.47,182.76,50.26,28.95,1.17,46.4,26.98,1.75,crack
UNIT-11037,LINE-C,892.27,175.52,51.27,29.43,1.89,47.85,17.52,2.19,hole
UNIT-13389,LINE-C,836.83,148.12,60.52,18.84,4.47,45.29,18.34,0.72,scratch
UNIT-10901,LINE-A,882.63,201.23,50.23,33.51,1.42,48.32,16.79,3.06,hole
UNIT-11293,LINE-A,867.39,190.91,51.36,32.36,1.61,48.72,15.91,3.0,hole
UNIT-11299,LINE-B,879.82,187.7,48.38,31.65,1.8,47.31,16.67,1.99,hole
UNIT-10742,LINE-B,888.39,196.75,46.93,33.9,1.97,50.47,16.4,1.8,hole
UNIT-13080,LINE-B,839.79,145.59,70.1,22.96,4.24,42.38,14.58,0.34,scratch
UNIT-12722,LINE-B,838.9,149.16,32.53,14.27,1.47,70.46,17.79,0.47,rust
UNIT-12403,LINE-A,843.92,152.02,40.85,16.55,1.3,84.51,15.82,0.53,rust
UNIT-10510,LINE-B,883.94,178.35,54.27,30.46,1.22,40.42,23.31,2.21,crack
UNIT-10598,LINE-A,877.54,180.53,53.29,30.1,1.92,42.27,36.09,1.3,crack
UNIT-12629,LINE-B,844.34,146.07,37.58,19.22,1.72,69.55,15.25,0.72,rust
UNIT-10982,LINE-A,873.91,202.36,50.18,34.16,1.66,42.9,16.29,2.79,hole
UNIT-12767,LINE-A,835.36,150.81,36.37,17.43,1.37,72.03,14.52,0.8,rust
UNIT-13084,LINE-B,844.38,147.09,64.82,13.99,5.47,40.12,17.53,0.53,scratch
UNIT-10519,LINE-B,891.23,172.32,55.6,30.12,1.32,50.11,25.96,2.24,crack
UNIT-11158,LINE-A,888.37,188.05,47.74,34.66,1.25,43.43,15.68,1.8,hole
UNIT-10768,LINE-C,880.9,184.27,47.64,31.98,1.35,47.74,15.73,2.7,hole
UNIT-12329,LINE-A,823.39,148.63,30.14,17.4,1.62,69.99,13.61,0.38,rust
UNIT-13216,LINE-A,831.3,142.36,63.77,14.3,4.18,48.55,16.7,0.5,scratch
UNIT-10124,LINE-A,923.54,177.21,49.7,32.84,1.33,42.25,29.77,1.91,crack
UNIT-11621,LINE-A,842.7,149.66,53.33,33.02,2.07,34.16,19.6,0.41,normal
UNIT-11745,LINE-B,842.76,151.43,45.45,34.28,1.2,48.15,16.89,0.26,normal
UNIT-10820,LINE-B,875.2,191.14,47.11,29.43,1.47,52.25,16.4,1.84,hole
UNIT-10101,LINE-B,910.38,165.41,49.31,33.5,1.82,41.2,32.88,1.76,crack
UNIT-13081,LINE-B,851.07,158.02,66.78,17.56,5.74,41.75,17.38,0.48,scratch
UNIT-13236,LINE-C,851.35,156.57,59.78,12.23,5.4,43.59,18.42,0.42,scratch
UNIT-12678,LINE-A,824.24,151.69,37.78,18.41,1.9,78.28,14.54,0.57,rust
UNIT-13062,LINE-A,843.13,145.2,58.28,14.96,3.77,39.12,18.15,0.73,scratch
UNIT-11104,LINE-A,908.0,199.09,52.59,34.31,1.14,37.74,15.99,1.75,hole
UNIT-11284,LINE-A,884.78,187.22,49.53,30.31,1.57,46.66,17.92,3.21,hole
UNIT-12592,LINE-C,852.48,156.18,32.63,15.74,1.32,75.99,18.31,0.47,rust
UNIT-12804,LINE-B,846.46,153.52,64.53,20.39,6.16,40.39,16.98,0.51,scratch
UNIT-12583,LINE-A,848.99,151.34,32.19,12.16,1.47,68.24,18.33,0.65,rust
UNIT-12418,LINE-C,843.38,157.27,31.43,20.17,0.99,80.58,17.12,0.25,rust
UNIT-12714,LINE-A,838.52,148.6,36.09,17.63,1.65,68.31,17.49,0.48,rust
UNIT-10983,LINE-C,869.6,190.25,47.29,33.11,1.38,42.4,15.13,2.92,hole
UNIT-10457,LINE-A,928.89,175.04,43.49,30.95,1.39,40.18,30.53,2.05,crack
UNIT-12615,LINE-B,845.09,150.75,35.39,13.16,1.48,75.55,14.82,0.5,rust
UNIT-12496,LINE-A,822.11,150.23,34.42,12.12,1.77,81.85,16.52,0.14,rust
UNIT-10382,LINE-B,909.17,163.84,47.49,32.72,1.44,46.62,24.47,2.45,crack
UNIT-13264,LINE-B,842.73,139.95,63.96,16.57,5.23,46.61,17.81,0.52,scratch
UNIT-12813,LINE-A,840.92,159.06,65.5,15.3,3.78,49.64,16.81,0.46,scratch
UNIT-12150,LINE-B,840.33,153.95,32.88,17.74,1.12,70.35,16.42,0.5,rust
UNIT-11011,LINE-B,864.23,197.23,54.78,33.33,1.59,42.18,18.62,1.82,hole
UNIT-11238,LINE-C,884.94,188.1,52.89,31.84,1.42,44.28,13.82,2.66,hole
UNIT-11919,LINE-A,837.81,147.63,53.02,32.83,2.34,46.14,17.83,0.54,normal
UNIT-10663,LINE-C,883.87,165.98,50.1,27.82,1.49,43.04,32.97,1.9,crack
UNIT-11314,LINE-C,885.3,196.51,48.31,34.43,2.02,40.77,21.2,2.71,hole
UNIT-13173,LINE-B,838.98,149.13,67.67,21.35,6.37,47.17,15.86,0.38,scratch
UNIT-11393,LINE-B,869.39,175.09,48.14,31.96,0.79,41.94,18.38,2.17,hole
UNIT-11948,LINE-A,836.57,144.63,54.81,33.58,1.96,39.11,17.27,0.58,normal
UNIT-12750,LINE-A,826.32,150.2,32.15,19.78,1.44,85.03,13.88,0.55,rust
UNIT-12673,LINE-C,848.98,149.63,34.03,9.21,1.41,61.98,18.56,0.3,rust
UNIT-11834,LINE-A,826.05,153.55,45.23,30.42,2.07,47.33,16.18,0.42,normal
UNIT-10846,LINE-A,867.8,191.86,49.49,34.83,1.32,42.14,17.72,1.71,hole
UNIT-10543,LINE-B,900.81,169.42,49.62,31.31,1.5,42.63,27.52,1.6,crack
UNIT-12928,LINE-C,850.26,148.25,67.81,17.26,4.63,37.73,18.58,0.15,scratch
UNIT-12245,LINE-A,837.07,157.81,36.08,10.86,1.97,70.53,13.9,0.35,rust
UNIT-12842,LINE-B,836.91,144.19,63.11,22.37,6.53,44.4,15.71,0.29,scratch
UNIT-11103,LINE-A,875.55,203.43,47.15,33.81,1.24,52.47,14.61,2.86,hole
UNIT-12477,LINE-B,850.94,155.71,32.65,18.73,1.75,64.21,19.17,0.42,rust
UNIT-11367,LINE-C,885.85,182.6,49.69,31.57,1.76,41.51,18.53,2.25,hole
UNIT-11713,LINE-B,846.73,140.97,50.09,31.24,1.75,53.63,13.41,0.56,normal
UNIT-11423,LINE-A,857.03,150.73,48.16,32.22,1.55,44.14,17.73,0.47,normal
UNIT-12187,LINE-C,849.79,146.93,34.28,12.19,1.44,80.69,15.34,0.41,rust
UNIT-11379,LINE-A,891.04,172.69,48.76,33.88,1.34,40.18,16.78,2.79,hole
UNIT-11049,LINE-B,881.11,183.99,47.52,30.33,1.46,46.03,18.13,2.54,hole
UNIT-12497,LINE-A,829.99,151.85,37.53,13.16,1.74,79.01,17.3,0.38,rust
UNIT-12248,LINE-A,844.45,150.01,36.06,15.93,1.86,76.01,18.46,0.42,rust
UNIT-11790,LINE-A,840.94,146.96,50.18,34.01,1.66,44.91,15.94,0.8,normal
UNIT-11878,LINE-C,831.83,145.92,48.95,34.0,1.96,42.83,16.62,0.39,normal
UNIT-10238,LINE-B,896.66,166.33,54.76,35.25,2.27,43.36,32.06,1.56,crack
UNIT-11491,LINE-A,831.44,153.29,49.1,27.57,2.09,48.05,13.98,0.61,normal
UNIT-11661,LINE-B,831.71,156.39,50.02,30.51,1.59,43.75,17.84,0.19,normal
UNIT-11134,LINE-C,875.64,192.99,48.91,28.5,1.27,40.37,14.05,2.59,hole
UNIT-12294,LINE-B,845.01,152.99,34.7,18.76,1.71,88.85,17.15,0.59,rust
UNIT-12404,LINE-C,845.36,155.04,31.69,15.96,1.66,88.7,14.09,0.79,rust
UNIT-10164,LINE-C,922.26,183.37,51.3,33.29,1.77,44.36,29.1,2.15,crack
UNIT-11430,LINE-C,842.48,150.68,47.19,29.51,1.58,44.32,17.02,0.6,normal
UNIT-10253,LINE-A,900.29,178.58,47.3,30.73,1.58,40.59,30.66,2.08,crack
UNIT-13102,LINE-B,835.97,146.25,59.4,13.85,4.38,41.14,15.93,0.44,scratch
UNIT-12096,LINE-A,845.14,141.63,48.86,34.17,1.47,35.54,18.92,0.61,normal
UNIT-10931,LINE-C,860.75,202.88,50.13,32.42,1.77,40.07,16.39,2.12,hole
UNIT-11744,LINE-C,843.71,148.22,51.44,30.66,2.02,48.0,17.45,0.47,normal
